"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";1945000;-339265;1945;953;112,450624085164;415;3;101;1;321;1
"Магазин2";909000;-1434170;909;2030;110,830844941633;296;3;6;7;409;7
"Магазин3";1459000;-850295;1459;1455;99,5889169584266;342;1;35;5;382;5
"Магазин4";1409000;-893495;1409;1495;143,745973028481;423;2;3;1;397;1
"Магазин5";1714000;-563160;1714;1168;116,855221779529;410;4;107;2;315;2
"Магазин6";1657000;-640905;1657;1249;147,832917270043;376;6;15;5;395;5
"Магазин7";1442000;-871745;1442;1477;126,293309403151;372;6;41;5;368;5
"Магазин8";1382000;-901045;1382;1497;112,711811186549;336;3;65;2;364;2
"Магазин9";1844000;-446010;1844;1058;97,5821997819567;381;7;136;6;290;6
"Магазин10";1411000;-885005;1411;1485;110,267639772294;344;5;23;3;400;3
"Итого";15172000;-7825095;15172;13867;1178,15945820723;NA;NA;NA;NA;NA;NA
"Среднее";1517200;-782509,5;1517,2;1386,7;117,815945820723;NA;NA;NA;NA;NA;NA
