"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";27864000;276400;3483;1429;230,929900722317;756;5;237;1;483;1
"Магазин2";15288000;-12108300;1911;2862;174,631039623545;529;2;30;4;609;4
"Магазин3";22800000;-5353500;2850;2115;276,58779713467;784;7;38;5;650;3
"Магазин4";19656000;-7722500;2457;2350;194,538770771621;597;7;152;2;604;3
"Магазин5";15752000;-13048900;1969;3046;247,301916885491;619;6;18;5;735;5
"Магазин6";24808000;-4342500;3101;2050;202,994252792208;695;1;130;7;476;7
"Магазин7";26368000;-674900;3296;1511;162,559146745042;616;3;167;6;521;6
"Магазин8";18144000;-10248200;2268;2698;162,812775911474;566;4;103;3;546;7
"Магазин9";23600000;-3492800;2950;1842;308,251443436932;709;2;34;3;685;3
"Магазин10";17080000;-13005600;2135;3109;144,600599353299;479;5;78;7;703;7
"Итого";211360000;-69720800;26420;23012;2105,2076433766;NA;NA;NA;NA;NA;NA
"Среднее";21136000;-6972080;2642;2301,2;210,52076433766;NA;NA;NA;NA;NA;NA
