"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";35088;-25881;48;87;3,53216512583861;12;6;3;7;16;4
"Магазин2";37281;-24055;51;85;6,4733887497015;18;3;1;1;18;1
"Магазин3";65790;1072;90;56;5,8145957563294;20;3;3;7;19;7
"Магазин4";47515;-17077;65;79;6,62606685030885;19;5;1;6;18;6
"Магазин5";62866;-1517;86;59;5,99205823609567;21;2;7;1;15;1
"Магазин6";24854;-37952;34;104;3,38765264987284;11;1;1;6;18;6
"Магазин7";34357;-29422;47;94;5,99205823609567;18;6;1;4;21;4
"Магазин8";62866;-1980;86;60;4,92322000707822;18;3;5;6;16;6
"Магазин9";77486;15132;106;36;4,59813626840888;21;7;7;2;13;2
"Магазин10";46053;-13510;63;70;5,68624070307733;19;6;1;5;18;5
"Итого";494156;-135190;676;730;53,0255825828069;NA;NA;NA;NA;NA;NA
"Среднее";49415,6;-13519;67,6;73;5,30255825828069;NA;NA;NA;NA;NA;NA
