"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";56100;-4635;165;129;17,7468977839052;45;2;7;1;40;1
"Магазин2";70380;11780;207;80;13,9505930920175;43;2;4;3;41;3
"Магазин3";69360;13940;204;68;13,4589322437873;44;1;3;3;32;3
"Магазин4";62560;7700;184;84;14,2678459681701;43;4;2;1;38;1
"Магазин5";33320;-27990;98;194;10,816653826392;33;6;2;2;48;2
"Магазин6";32640;-28915;96;197;11,771636613973;36;3;1;6;44;6
"Магазин7";55080;-7420;162;140;16,4664160381929;44;3;1;2;49;6
"Магазин8";53720;-4110;158;122;7,9132198010069;34;3;13;6;31;6
"Магазин9";51680;-4520;152;120;13,7078357848627;43;4;10;2;33;1
"Магазин10";63580;2530;187;110;19,6444588091594;49;3;2;1;34;1
"Итого";548420;-41640;1613;1244;139,744489961467;NA;NA;NA;NA;NA;NA
"Среднее";54842;-4164;161,3;124,4;13,9744489961467;NA;NA;NA;NA;NA;NA
