"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";6120000;-1438500;1020;585;71,7024274012958;249;7;40;3;175;3
"Магазин2";5238000;-3545500;873;973;72,3894888449842;255;2;33;3;262;3
"Магазин3";7644000;-1131900;1274;595;42,2847490237319;224;4;99;1;181;1
"Магазин4";6462000;-2132900;1077;743;113,393751402548;278;6;15;5;257;5
"Магазин5";6006000;-2136400;1001;722;73,5119037979564;211;5;1;7;232;7
"Магазин6";6444000;-1078700;1074;527;86,686902399492;244;5;33;7;213;7
"Магазин7";5790000;-2377900;965;761;82,3213795062347;248;4;15;5;201;7
"Магазин8";8532000;319900;1422;341;52,7207377649079;283;3;117;6;146;6
"Магазин9";5430000;-3520300;905;977;96,1625607772489;264;6;8;5;276;2
"Магазин10";6534000;-1420300;1089;601;87,831006565368;281;3;28;2;179;2
"Итого";64200000;-18462500;10700;6825;779,004907483768;NA;NA;NA;NA;NA;NA
"Среднее";6420000;-1846250;1070;682,5;77,9004907483768;NA;NA;NA;NA;NA;NA
