"Выручка..руб.";"Прибыль..руб";"Реализация..шт";"Списание..шт";"Равномерность.продаж";"Продажи.макс";"День.макс.продаж";"Продажи.мин";"День.мин.продаж";"Списание.макс";"День.макс.списания"
"Магазин1";499744;7936;92;82;7,84067538393157;25;1;3;2;27;2
"Магазин2";564928;70264;104;73;9,26334301478272;28;6;1;7;26;7
"Магазин3";347648;-168616;64;113;4,33699479011951;16;1;2;5;24;5
"Магазин4";597520;99872;110;69;9,96183192179507;28;4;2;1;23;1
"Магазин5";407400;-115372;75;106;9,42893217203104;22;1;1;4;29;4
"Магазин6";439992;-82652;81;101;7,23088613419644;23;4;2;6;24;6
"Магазин7";434560;-91736;80;103;9,21696159004587;29;5;3;7;24;1
"Магазин8";793072;336648;146;26;3,8483144114695;24;1;15;7;9;5
"Магазин9";640976;175656;118;52;5,89995964473689;25;1;8;4;14;4
"Магазин10";331352;-142964;61;102;8,63547500554709;22;7;1;2;22;2
"Итого";5057192;89036;931;827;75,6633740686557;NA;NA;NA;NA;NA;NA
"Среднее";505719,2;8903,6;93,1;82,7;7,56633740686557;NA;NA;NA;NA;NA;NA
