<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>;<VOL>
ФСК ЕЭС ао;W;11/01/10;000000;0.342;8883842700
ФСК ЕЭС ао;W;18/01/10;000000;0.326;6898585100
ФСК ЕЭС ао;W;25/01/10;000000;0.341;9852646000
ФСК ЕЭС ао;W;01/02/10;000000;0.321;6827020700
ФСК ЕЭС ао;W;08/02/10;000000;0.291;7321286100
ФСК ЕЭС ао;W;15/02/10;000000;0.308;10178172800
ФСК ЕЭС ао;W;22/02/10;000000;0.304;3207439600
ФСК ЕЭС ао;W;01/03/10;000000;0.317;8727266100
ФСК ЕЭС ао;W;08/03/10;000000;0.322;10665425300
ФСК ЕЭС ао;W;15/03/10;000000;0.338;14616202200
ФСК ЕЭС ао;W;22/03/10;000000;0.365;10411818800
ФСК ЕЭС ао;W;29/03/10;000000;0.375;8784819200
ФСК ЕЭС ао;W;05/04/10;000000;0.374;6885843200
ФСК ЕЭС ао;W;12/04/10;000000;0.366;12053648000
ФСК ЕЭС ао;W;19/04/10;000000;0.37;7924293100
ФСК ЕЭС ао;W;26/04/10;000000;0.366;5337666000
ФСК ЕЭС ао;W;03/05/10;000000;0.319;5368611300
ФСК ЕЭС ао;W;10/05/10;000000;0.326;6751093000
ФСК ЕЭС ао;W;17/05/10;000000;0.314;4920126200
ФСК ЕЭС ао;W;24/05/10;000000;0.35;8203847600
ФСК ЕЭС ао;W;31/05/10;000000;0.321;8531011700
ФСК ЕЭС ао;W;07/06/10;000000;0.307;6584036400
ФСК ЕЭС ао;W;14/06/10;000000;0.334;6825411400
ФСК ЕЭС ао;W;21/06/10;000000;0.328;7499604200
ФСК ЕЭС ао;W;28/06/10;000000;0.343;6393050600
ФСК ЕЭС ао;W;05/07/10;000000;0.336;3084655300
ФСК ЕЭС ао;W;12/07/10;000000;0.335;5912372000
ФСК ЕЭС ао;W;19/07/10;000000;0.334;5131415700
ФСК ЕЭС ао;W;26/07/10;000000;0.336;2890461100
ФСК ЕЭС ао;W;02/08/10;000000;0.354;6491350800
ФСК ЕЭС ао;W;09/08/10;000000;0.341;4044100900
ФСК ЕЭС ао;W;16/08/10;000000;0.338;3444630600
ФСК ЕЭС ао;W;23/08/10;000000;0.355;3750353100
ФСК ЕЭС ао;W;30/08/10;000000;0.365;3746489000
ФСК ЕЭС ао;W;06/09/10;000000;0.362;3614528300
ФСК ЕЭС ао;W;13/09/10;000000;0.363;4570204300
ФСК ЕЭС ао;W;20/09/10;000000;0.36;2821025200
ФСК ЕЭС ао;W;27/09/10;000000;0.368;3906840500
ФСК ЕЭС ао;W;04/10/10;000000;0.365;3611371200
ФСК ЕЭС ао;W;11/10/10;000000;0.367;2722449200
ФСК ЕЭС ао;W;18/10/10;000000;0.375;9176457200
ФСК ЕЭС ао;W;25/10/10;000000;0.371;4635945900
ФСК ЕЭС ао;W;01/11/10;000000;0.367;1891920600
ФСК ЕЭС ао;W;08/11/10;000000;0.364;3697326800
ФСК ЕЭС ао;W;15/11/10;000000;0.36;2870766100
ФСК ЕЭС ао;W;22/11/10;000000;0.363;2712573900
ФСК ЕЭС ао;W;29/11/10;000000;0.369;5259918200
ФСК ЕЭС ао;W;06/12/10;000000;0.361;5289155600
ФСК ЕЭС ао;W;13/12/10;000000;0.362;3420808800
ФСК ЕЭС ао;W;20/12/10;000000;0.362;3358221700
ФСК ЕЭС ао;W;27/12/10;000000;0.369;5309457400
ФСК ЕЭС ао;W;10/01/11;000000;0.399;9127057000
ФСК ЕЭС ао;W;17/01/11;000000;0.401;7655819200
ФСК ЕЭС ао;W;24/01/11;000000;0.432;24389439600
ФСК ЕЭС ао;W;31/01/11;000000;0.434;9677910700
ФСК ЕЭС ао;W;07/02/11;000000;0.411;7214631400
ФСК ЕЭС ао;W;14/02/11;000000;0.415;10737693600
ФСК ЕЭС ао;W;21/02/11;000000;0.398;7599210800
ФСК ЕЭС ао;W;28/02/11;000000;0.40896;7647611500
ФСК ЕЭС ао;W;07/03/11;000000;0.39146;4380540000
ФСК ЕЭС ао;W;14/03/11;000000;0.349;10767930000
ФСК ЕЭС ао;W;21/03/11;000000;0.40399;18418460000
ФСК ЕЭС ао;W;28/03/11;000000;0.41198;12840510000
ФСК ЕЭС ао;W;04/04/11;000000;0.40026;6067060000
ФСК ЕЭС ао;W;11/04/11;000000;0.37662;4853680000
ФСК ЕЭС ао;W;18/04/11;000000;0.3826;5617520000
ФСК ЕЭС ао;W;25/04/11;000000;0.3619;5002350000
ФСК ЕЭС ао;W;02/05/11;000000;0.37102;4965700000
ФСК ЕЭС ао;W;09/05/11;000000;0.354;3976100000
ФСК ЕЭС ао;W;16/05/11;000000;0.346;4147830000
ФСК ЕЭС ао;W;23/05/11;000000;0.32996;10096000000
ФСК ЕЭС ао;W;30/05/11;000000;0.35067;9201440000
ФСК ЕЭС ао;W;06/06/11;000000;0.378;4938940000
ФСК ЕЭС ао;W;13/06/11;000000;0.38345;6779910000
ФСК ЕЭС ао;W;20/06/11;000000;0.3709;3012170000
ФСК ЕЭС ао;W;27/06/11;000000;0.3869;5777030000
ФСК ЕЭС ао;W;04/07/11;000000;0.39674;6652060000
ФСК ЕЭС ао;W;11/07/11;000000;0.394;3666180000
ФСК ЕЭС ао;W;18/07/11;000000;0.38495;4648440000
ФСК ЕЭС ао;W;25/07/11;000000;0.37853;4686270000
ФСК ЕЭС ао;W;01/08/11;000000;0.34101;6558310000
ФСК ЕЭС ао;W;08/08/11;000000;0.28287;18169000000
ФСК ЕЭС ао;W;15/08/11;000000;0.2772;16889810000
